Time	Channel A
(s)	(V)

0.00880000	2.47901800
0.00885000	2.47901800
0.00890000	2.47901800
0.00895000	2.47901800
0.00900000	2.47901800
0.00905000	2.47901800
0.00910000	2.47901800
0.00915000	2.47901800
0.00920000	2.47901800
0.00925000	2.47901800
0.00930000	2.52327000
0.00935000	2.47901800
0.00940000	2.52327000
0.00945000	2.47901800
0.00950000	2.47901800
0.00955000	2.47901800
0.00960000	2.47901800
0.00965000	2.47901800
0.00970000	2.47901800
0.00975000	2.47901800
0.00980000	2.47901800
0.00985000	2.47901800
0.00990000	2.47901800
0.00995000	2.47901800
0.01000000	2.47901800
0.01005000	2.52327000
0.01010000	2.47901800
0.01015000	2.47901800
0.01020000	2.47901800
0.01025000	2.47901800
0.01030000	2.52327000
0.01035000	2.47901800
0.01040000	2.47901800
0.01045000	2.47901800
0.01050000	2.47901800
0.01055000	2.47901800
0.01060000	2.47901800
0.01065000	2.47901800
0.01070000	2.47901800
0.01075000	2.47901800
0.01080000	2.47901800
0.01085000	2.47901800
0.01090000	2.47901800
0.01095000	2.47901800
0.01100000	2.47901800
0.01105000	2.47901800
0.01110000	2.47901800
0.01115000	2.47901800
0.01120000	2.47901800
0.01125000	2.47901800
0.01130000	2.47901800
0.01135000	2.47901800
0.01140000	2.47901800
0.01145000	2.47901800
0.01150000	2.47901800
0.01155000	2.52327000
0.01160000	2.47901800
0.01165000	2.47901800
0.01170000	2.47901800
0.01175000	2.47901800
0.01180000	2.47901800
0.01185000	2.47901800
0.01190000	2.47901800
0.01195000	2.47901800
0.01200000	2.47901800
0.01205000	2.47901800
0.01210000	2.47901800
0.01215000	2.47901800
0.01220000	2.47901800
0.01225000	2.47901800
0.01230000	2.47901800
0.01235000	2.47901800
0.01240000	2.47901800
0.01245000	2.47901800
0.01250000	2.47901800
0.01255000	2.47901800
0.01260000	2.47901800
0.01265000	2.47901800
0.01270000	2.47901800
0.01275000	2.47901800
0.01280000	2.47901800
0.01285000	2.47901800
0.01290000	2.47901800
0.01295000	2.47901800
0.01300000	2.47901800
0.01305000	2.47901800
0.01310000	2.47901800
0.01315000	2.47901800
0.01320000	2.52327000
0.01325000	2.47901800
0.01330000	2.52327000
0.01335000	2.47901800
0.01340000	2.47901800
0.01345000	2.47901800
0.01350000	2.52327000
0.01355000	2.52327000
0.01360000	2.47901800
0.01365000	2.47901800
0.01370000	2.47901800
0.01375000	2.47901800
0.01380000	2.47901800
0.01385000	2.47901800
0.01390000	2.47901800
0.01395000	2.47901800
0.01400000	2.52327000
0.01405000	2.47901800
0.01410000	2.47901800
0.01415000	2.47901800
0.01420000	2.47901800
0.01425000	2.47901800
0.01430000	2.47901800
0.01435000	2.47901800
0.01440000	2.47901800
0.01445000	2.47901800
0.01450000	2.47901800
0.01455000	2.47901800
0.01460000	2.47901800
0.01465000	2.47901800
0.01470000	2.47901800
0.01475000	2.47901800
0.01480000	2.47901800
0.01485000	2.47901800
0.01490000	2.47901800
0.01495000	2.47901800
0.01500000	2.47901800
0.01505000	2.47901800
0.01510000	2.47901800
0.01515000	2.47901800
0.01520000	2.47901800
0.01525000	2.47901800
0.01530000	2.47901800
0.01535000	2.47901800
0.01540000	2.47901800
0.01545000	2.47901800
0.01550000	2.47901800
0.01555000	2.47901800
0.01560000	2.47901800
0.01565000	2.47901800
0.01570000	2.47901800
0.01575000	2.47901800
0.01580000	2.47901800
0.01585000	2.47901800
0.01590000	2.47901800
0.01595000	2.47901800
0.01600000	2.47901800
0.01605000	2.47901800
0.01610000	2.47901800
0.01615000	2.47901800
0.01620000	2.47901800
0.01625000	2.47901800
0.01630000	2.47901800
0.01635000	2.47901800
0.01640000	2.47901800
0.01645000	2.47901800
0.01650000	2.47901800
0.01655000	2.47901800
0.01660000	2.47901800
0.01665000	2.47901800
0.01670000	2.47901800
0.01675000	2.47901800
0.01680000	2.47901800
0.01685000	2.47901800
0.01690000	2.47901800
0.01695000	2.47901800
0.01700000	2.47901800
0.01705000	2.47901800
0.01710000	2.47901800
0.01715000	2.47901800
0.01720000	2.47901800
0.01725000	2.47901800
0.01730000	2.47901800
0.01735000	2.47901800
0.01740000	2.47901800
0.01745000	2.47901800
0.01750000	2.47901800
0.01755000	2.47901800
0.01760000	2.47901800
0.01765000	2.47901800
0.01770000	2.47901800
0.01775000	2.47901800
0.01780000	2.47901800
0.01785000	2.47901800
0.01790000	2.47901800
0.01795000	2.47901800
0.01800000	2.47901800
0.01805000	2.47901800
0.01810000	2.47901800
0.01815000	2.47901800
0.01820000	2.47901800
0.01825000	2.47901800
0.01830000	2.47901800
0.01835000	2.47901800
0.01840000	2.47901800
0.01845000	2.47901800
0.01850000	2.47901800
0.01855000	2.47901800
0.01860000	2.47901800
0.01865000	2.47901800
0.01870000	2.47901800
0.01875000	2.47901800
0.01880000	2.47901800
0.01885000	2.47901800
0.01890000	2.47901800
0.01895000	2.47901800
0.01900000	2.47901800
0.01905000	2.47901800
0.01910000	2.47901800
0.01915000	2.47901800
0.01920000	2.47901800
0.01925000	2.52327000
0.01930000	2.47901800
0.01935000	2.47901800
0.01940000	2.47901800
0.01945000	2.47901800
0.01950000	2.47901800
0.01955000	2.47901800
0.01960000	2.47901800
0.01965000	2.47901800
0.01970000	2.47901800
0.01975000	2.47901800
0.01980000	2.47901800
0.01985000	2.47901800
0.01990000	2.47901800
0.01995000	2.47901800
0.02000000	2.47901800
0.02005000	2.47901800
0.02010000	2.47901800
0.02015000	2.47901800
0.02020000	2.47901800
0.02025000	2.47901800
0.02030000	2.47901800
0.02035000	2.47901800
0.02040000	2.47901800
0.02045000	2.47901800
0.02050000	2.47901800
0.02055000	2.47901800
0.02060000	2.47901800
0.02065000	2.52327000
0.02070000	2.47901800
0.02075000	2.47901800
0.02080000	2.47901800
0.02085000	2.47901800
0.02090000	2.47901800
0.02095000	2.47901800
0.02100000	2.47901800
0.02105000	2.47901800
0.02110000	2.47901800
0.02115000	2.47901800
0.02120000	2.47901800
0.02125000	2.47901800
0.02130000	2.47901800
0.02135000	2.47901800
0.02140000	2.47901800
0.02145000	2.47901800
0.02150000	2.47901800
0.02155000	2.47901800
0.02160000	2.47901800
0.02165000	2.47901800
0.02170000	2.47901800
0.02175000	2.47901800
0.02180000	2.47901800
0.02185000	2.47901800
0.02190000	2.47901800
0.02195000	2.47901800
0.02200000	2.47901800
0.02205000	2.47901800
0.02210000	2.47901800
0.02215000	2.47901800
0.02220000	2.47901800
0.02225000	2.47901800
0.02230000	2.47901800
0.02235000	2.47901800
0.02240000	2.47901800
0.02245000	2.47901800
0.02250000	2.47901800
0.02255000	2.47901800
0.02260000	2.47901800
0.02265000	2.47901800
0.02270000	2.47901800
0.02275000	2.47901800
0.02280000	2.47901800
0.02285000	2.47901800
0.02290000	2.47901800
0.02295000	2.52327000
0.02300000	2.47901800
0.02305000	2.47901800
0.02310000	2.52327000
0.02315000	2.47901800
0.02320000	2.47901800
0.02325000	2.47901800
0.02330000	2.52327000
0.02335000	2.47901800
0.02340000	2.47901800
0.02345000	2.47901800
0.02350000	2.52327000
0.02355000	2.47901800
0.02360000	2.47901800
0.02365000	2.47901800
0.02370000	2.47901800
0.02375000	2.47901800
0.02380000	2.47901800
0.02385000	2.47901800
0.02390000	2.47901800
0.02395000	2.47901800
0.02400000	2.47901800
0.02405000	2.47901800
0.02410000	2.47901800
0.02415000	2.47901800
0.02420000	2.47901800
0.02425000	2.47901800
0.02430000	2.47901800
0.02435000	2.47901800
0.02440000	2.47901800
0.02445000	2.47901800
0.02450000	2.52327000
0.02455000	2.47901800
0.02460000	2.47901800
0.02465000	2.47901800
0.02470000	2.47901800
0.02475000	2.47901800
0.02480000	2.52327000
0.02485000	2.47901800
0.02490000	2.47901800
0.02495000	2.47901800
0.02500000	2.47901800
0.02505000	2.47901800
0.02510000	2.47901800
0.02515000	2.47901800
0.02520000	2.47901800
0.02525000	2.47901800
0.02530000	2.47901800
0.02535000	2.47901800
0.02540000	2.47901800
0.02545000	2.52327000
0.02550000	2.47901800
0.02555000	2.47901800
0.02560000	2.47901800
0.02565000	2.47901800
0.02570000	2.47901800
0.02575000	2.47901800
0.02580000	2.47901800
0.02585000	2.47901800
0.02590000	2.47901800
0.02595000	2.47901800
0.02600000	2.47901800
0.02605000	2.47901800
0.02610000	2.47901800
0.02615000	2.47901800
0.02620000	2.47901800
0.02625000	2.47901800
0.02630000	2.47901800
0.02635000	2.47901800
0.02640000	2.47901800
0.02645000	2.47901800
0.02650000	2.47901800
0.02655000	2.47901800
0.02660000	2.47901800
0.02665000	2.47901800
0.02670000	2.47901800
0.02675000	2.47901800
0.02680000	2.47901800
0.02685000	2.47901800
0.02690000	2.47901800
0.02695000	2.47901800
0.02700000	2.47901800
0.02705000	2.47901800
0.02710000	2.52327000
0.02715000	2.47901800
0.02720000	2.47901800
0.02725000	2.47901800
0.02730000	2.47901800
0.02735000	2.52327000
0.02740000	2.47901800
0.02745000	2.47901800
0.02750000	2.47901800
0.02755000	2.47901800
0.02760000	2.47901800
0.02765000	2.47901800
0.02770000	2.47901800
0.02775000	2.47901800
0.02780000	2.47901800
0.02785000	2.47901800
0.02790000	2.47901800
0.02795000	2.52327000
0.02800000	2.47901800
0.02805000	2.47901800
0.02810000	2.47901800
0.02815000	2.47901800
0.02820000	2.47901800
0.02825000	2.47901800
0.02830000	2.47901800
0.02835000	2.47901800
0.02840000	2.47901800
0.02845000	2.47901800
0.02850000	2.47901800
0.02855000	2.47901800
0.02860000	2.47901800
0.02865000	2.47901800
0.02870000	2.47901800
0.02875000	2.47901800
0.02880000	2.47901800
0.02885000	2.47901800
0.02890000	2.47901800
0.02895000	2.47901800
0.02900000	2.47901800
0.02905000	2.47901800
0.02910000	2.47901800
0.02915000	2.47901800
0.02920000	2.47901800
0.02925000	2.47901800
0.02930000	2.47901800
0.02935000	2.47901800
0.02940000	2.47901800
0.02945000	2.47901800
0.02950000	2.47901800
0.02955000	2.47901800
0.02960000	2.47901800
0.02965000	2.47901800
0.02970000	2.47901800
0.02975000	2.47901800
0.02980000	2.47901800
0.02985000	2.47901800
0.02990000	2.47901800
0.02995000	2.47901800
0.03000000	2.47901800
0.03005000	2.47901800
0.03010000	2.47901800
0.03015000	2.47901800
0.03020000	2.47901800
0.03025000	2.47901800
0.03030000	2.47901800
0.03035000	2.47901800
0.03040000	2.47901800
0.03045000	2.47901800
0.03050000	2.47901800
0.03055000	2.47901800
0.03060000	2.47901800
0.03065000	2.52327000
0.03070000	2.47901800
0.03075000	2.47901800
0.03080000	2.47901800
0.03085000	2.47901800
0.03090000	2.47901800
0.03095000	2.47901800
0.03100000	2.47901800
0.03105000	2.47901800
0.03110000	2.47901800
0.03115000	2.52327000
0.03120000	2.47901800
0.03125000	2.47901800
0.03130000	2.47901800
0.03135000	2.47901800
0.03140000	2.47901800
0.03145000	2.47901800
0.03150000	2.47901800
0.03155000	2.47901800
0.03160000	2.47901800
0.03165000	2.52327000
0.03170000	2.52327000
0.03175000	2.47901800
0.03180000	2.47901800
0.03185000	2.47901800
0.03190000	2.47901800
0.03195000	2.47901800
0.03200000	2.47901800
0.03205000	2.47901800
0.03210000	2.47901800
0.03215000	2.52327000
0.03220000	2.47901800
0.03225000	2.47901800
0.03230000	2.47901800
0.03235000	2.47901800
0.03240000	2.47901800
0.03245000	2.47901800
0.03250000	2.47901800
0.03255000	2.47901800
0.03260000	2.47901800
0.03265000	2.47901800
0.03270000	2.47901800
0.03275000	2.47901800
0.03280000	2.47901800
0.03285000	2.47901800
0.03290000	2.47901800
0.03295000	2.47901800
0.03300000	2.47901800
0.03305000	2.47901800
0.03310000	2.47901800
0.03315000	2.47901800
0.03320000	2.47901800
0.03325000	2.47901800
0.03330000	2.47901800
0.03335000	2.47901800
0.03340000	2.47901800
0.03345000	2.47901800
0.03350000	2.47901800
0.03355000	2.47901800
0.03360000	2.52327000
0.03365000	2.47901800
0.03370000	2.47901800
0.03375000	2.47901800
0.03380000	2.47901800
0.03385000	2.47901800
0.03390000	2.47901800
0.03395000	2.47901800
0.03400000	2.52327000
0.03405000	2.47901800
0.03410000	2.47901800
0.03415000	2.47901800
0.03420000	2.47901800
0.03425000	2.47901800
0.03430000	2.47901800
0.03435000	2.47901800
0.03440000	2.47901800
0.03445000	2.47901800
0.03450000	2.47901800
0.03455000	2.47901800
0.03460000	2.47901800
0.03465000	2.52327000
0.03470000	2.47901800
0.03475000	2.47901800
0.03480000	2.52327000
0.03485000	2.47901800
0.03490000	2.47901800
0.03495000	2.47901800
0.03500000	2.47901800
0.03505000	2.47901800
0.03510000	2.47901800
0.03515000	2.47901800
0.03520000	2.47901800
0.03525000	2.47901800
0.03530000	2.47901800
0.03535000	2.47901800
0.03540000	2.47901800
0.03545000	2.47901800
0.03550000	2.47901800
0.03555000	2.47901800
0.03560000	2.47901800
0.03565000	2.47901800
0.03570000	2.47901800
0.03575000	2.47901800
0.03580000	2.47901800
0.03585000	2.47901800
0.03590000	2.52327000
0.03595000	2.47901800
0.03600000	2.47901800
0.03605000	2.47901800
0.03610000	2.47901800
0.03615000	2.47901800
0.03620000	2.47901800
0.03625000	2.47901800
0.03630000	2.47901800
0.03635000	2.47901800
0.03640000	2.47901800
0.03645000	2.47901800
0.03650000	2.47901800
0.03655000	2.52327000
0.03660000	2.47901800
0.03665000	2.47901800
0.03670000	2.47901800
0.03675000	2.47901800
0.03680000	2.47901800
0.03685000	2.47901800
0.03690000	2.47901800
0.03695000	2.47901800
0.03700000	2.47901800
0.03705000	2.47901800
0.03710000	2.47901800
0.03715000	2.47901800
0.03720000	2.52327000
0.03725000	2.47901800
0.03730000	2.47901800
0.03735000	2.47901800
0.03740000	2.47901800
0.03745000	2.47901800
0.03750000	2.52327000
0.03755000	2.52327000
0.03760000	2.47901800
0.03765000	2.47901800
0.03770000	2.47901800
0.03775000	2.47901800
0.03780000	2.47901800
0.03785000	2.52327000
0.03790000	2.47901800
0.03795000	2.47901800
0.03800000	2.47901800
0.03805000	2.47901800
0.03810000	2.47901800
0.03815000	2.52327000
0.03820000	2.47901800
0.03825000	2.47901800
0.03830000	2.47901800
0.03835000	2.47901800
0.03840000	2.47901800
0.03845000	2.47901800
0.03850000	2.52327000
0.03855000	2.47901800
0.03860000	2.47901800
0.03865000	2.47901800
0.03870000	2.47901800
0.03875000	2.47901800
0.03880000	2.47901800
0.03885000	2.47901800
0.03890000	2.47901800
0.03895000	2.47901800
0.03900000	2.47901800
0.03905000	2.47901800
0.03910000	2.47901800
0.03915000	2.47901800
0.03920000	2.47901800
0.03925000	2.47901800
0.03930000	2.47901800
0.03935000	2.47901800
0.03940000	2.47901800
0.03945000	2.47901800
0.03950000	2.47901800
0.03955000	2.52327000
0.03960000	2.47901800
0.03965000	2.47901800
0.03970000	2.47901800
0.03975000	2.47901800
0.03980000	2.47901800
0.03985000	2.47901800
0.03990000	2.47901800
0.03995000	2.47901800
0.04000000	2.47901800
0.04005000	2.47901800
0.04010000	2.47901800
0.04015000	2.47901800
0.04020000	2.47901800
0.04025000	2.47901800
0.04030000	2.47901800
0.04035000	2.47901800
0.04040000	2.47901800
0.04045000	2.47901800
0.04050000	2.47901800
0.04055000	2.47901800
0.04060000	2.47901800
0.04065000	2.47901800
0.04070000	2.47901800
0.04075000	2.47901800
0.04080000	2.47901800
0.04085000	2.47901800
0.04090000	2.47901800
0.04095000	2.47901800
0.04100000	2.52327000
0.04105000	2.47901800
0.04110000	2.47901800
0.04115000	2.47901800
0.04120000	2.47901800
0.04125000	2.47901800
0.04130000	2.47901800
0.04135000	2.47901800
0.04140000	2.47901800
0.04145000	2.47901800
0.04150000	2.47901800
0.04155000	2.47901800
0.04160000	2.47901800
0.04165000	2.47901800
0.04170000	2.47901800
0.04175000	2.47901800
0.04180000	2.47901800
0.04185000	2.47901800
0.04190000	2.47901800
0.04195000	2.47901800
0.04200000	2.47901800
0.04205000	2.47901800
0.04210000	2.47901800
0.04215000	2.47901800
0.04220000	2.47901800
0.04225000	2.47901800
0.04230000	2.47901800
0.04235000	2.47901800
0.04240000	2.47901800
0.04245000	2.47901800
0.04250000	2.47901800
0.04255000	2.47901800
0.04260000	2.47901800
0.04265000	2.47901800
0.04270000	2.47901800
0.04275000	2.47901800
0.04280000	2.47901800
0.04285000	2.47901800
0.04290000	2.47901800
0.04295000	2.47901800
0.04300000	2.47901800
0.04305000	2.47901800
0.04310000	2.47901800
0.04315000	2.47901800
0.04320000	2.47901800
0.04325000	2.47901800
0.04330000	2.47901800
0.04335000	2.47901800
0.04340000	2.47901800
0.04345000	2.47901800
0.04350000	2.47901800
0.04355000	2.47901800
0.04360000	2.47901800
0.04365000	2.47901800
0.04370000	2.47901800
0.04375000	2.47901800
0.04380000	2.47901800
0.04385000	2.47901800
0.04390000	2.47901800
0.04395000	2.47901800
0.04400000	2.47901800
0.04405000	2.47901800
0.04410000	2.47901800
0.04415000	2.47901800
0.04420000	2.47901800
0.04425000	2.47901800
0.04430000	2.47901800
0.04435000	2.47901800
0.04440000	2.47901800
0.04445000	2.47901800
0.04450000	2.47901800
0.04455000	2.47901800
0.04460000	2.47901800
0.04465000	2.47901800
0.04470000	2.47901800
0.04475000	2.47901800
0.04480000	2.47901800
0.04485000	2.47901800
0.04490000	2.47901800
0.04495000	2.47901800
0.04500000	2.47901800
0.04505000	2.47901800
0.04510000	2.47901800
0.04515000	2.47901800
0.04520000	2.47901800
0.04525000	2.47901800
0.04530000	2.47901800
0.04535000	2.47901800
0.04540000	2.47901800
0.04545000	2.43476700
0.04550000	2.47901800
0.04555000	2.47901800
0.04560000	2.47901800
0.04565000	2.47901800
0.04570000	2.47901800
0.04575000	2.47901800
0.04580000	2.47901800
0.04585000	2.47901800
0.04590000	2.47901800
0.04595000	2.47901800
0.04600000	2.47901800
0.04605000	2.47901800
0.04610000	2.47901800
0.04615000	2.47901800
0.04620000	2.52327000
0.04625000	2.47901800
0.04630000	2.47901800
0.04635000	2.47901800
0.04640000	2.47901800
0.04645000	2.52327000
0.04650000	2.47901800
0.04655000	2.47901800
0.04660000	2.52327000
0.04665000	2.47901800
0.04670000	2.47901800
0.04675000	2.47901800
0.04680000	2.47901800
0.04685000	2.47901800
0.04690000	2.47901800
0.04695000	2.47901800
0.04700000	2.47901800
0.04705000	2.47901800
0.04710000	2.47901800
0.04715000	2.47901800
0.04720000	2.47901800
0.04725000	2.47901800
0.04730000	2.47901800
0.04735000	2.47901800
0.04740000	2.47901800
0.04745000	2.47901800
0.04750000	2.47901800
0.04755000	2.47901800
0.04760000	2.47901800
0.04765000	2.47901800
0.04770000	2.47901800
0.04775000	2.52327000
0.04780000	2.47901800
0.04785000	2.47901800
0.04790000	2.47901800
0.04795000	2.47901800
0.04800000	2.47901800
0.04805000	2.47901800
0.04810000	2.47901800
0.04815000	2.47901800
0.04820000	2.47901800
0.04825000	2.47901800
0.04830000	2.47901800
0.04835000	2.47901800
0.04840000	2.47901800
0.04845000	2.47901800
0.04850000	2.47901800
0.04855000	2.52327000
0.04860000	2.47901800
0.04865000	2.47901800
0.04870000	2.47901800
0.04875000	2.52327000
0.04880000	2.52327000
0.04885000	2.47901800
0.04890000	2.47901800
0.04895000	2.47901800
0.04900000	2.47901800
0.04905000	2.47901800
0.04910000	2.47901800
0.04915000	2.47901800
0.04920000	2.47901800
0.04925000	2.47901800
0.04930000	2.47901800
0.04935000	2.47901800
0.04940000	2.47901800
0.04945000	2.52327000
0.04950000	2.47901800
0.04955000	2.47901800
0.04960000	2.47901800
0.04965000	2.47901800
0.04970000	2.47901800
0.04975000	2.47901800
0.04980000	2.47901800
0.04985000	2.47901800
0.04990000	2.47901800
0.04995000	2.47901800
0.05000000	2.47901800
0.05005000	2.47901800
0.05010000	2.47901800
0.05015000	2.47901800
0.05020000	2.47901800
0.05025000	2.47901800
0.05030000	2.47901800
0.05035000	2.47901800
0.05040000	2.47901800
0.05045000	2.47901800
0.05050000	2.47901800
0.05055000	2.47901800
0.05060000	2.47901800
0.05065000	2.47901800
0.05070000	2.47901800
0.05075000	2.47901800
0.05080000	2.47901800
0.05085000	2.47901800
0.05090000	2.47901800
0.05095000	2.47901800
0.05100000	2.47901800
0.05105000	2.47901800
0.05110000	2.47901800
0.05115000	2.47901800
0.05120000	2.47901800
0.05125000	2.47901800
0.05130000	2.47901800
0.05135000	2.47901800
0.05140000	2.52327000
0.05145000	2.47901800
0.05150000	2.47901800
0.05155000	2.52327000
0.05160000	2.47901800
0.05165000	2.47901800
0.05170000	2.47901800
0.05175000	2.47901800
0.05180000	2.52327000
0.05185000	2.47901800
0.05190000	2.47901800
0.05195000	2.47901800
0.05200000	2.47901800
0.05205000	2.47901800
0.05210000	2.47901800
0.05215000	2.52327000
0.05220000	2.47901800
0.05225000	2.47901800
0.05230000	2.52327000
0.05235000	2.47901800
0.05240000	2.47901800
0.05245000	2.47901800
0.05250000	2.47901800
0.05255000	2.47901800
0.05260000	2.47901800
0.05265000	2.47901800
0.05270000	2.47901800
0.05275000	2.47901800
0.05280000	2.47901800
0.05285000	2.47901800
0.05290000	2.47901800
0.05295000	2.47901800
0.05300000	2.47901800
0.05305000	2.47901800
0.05310000	2.47901800
0.05315000	2.47901800
0.05320000	2.47901800
0.05325000	2.47901800
0.05330000	2.47901800
0.05335000	2.47901800
0.05340000	2.47901800
0.05345000	2.47901800
0.05350000	2.52327000
0.05355000	2.52327000
0.05360000	2.47901800
0.05365000	2.47901800
0.05370000	2.47901800
0.05375000	2.47901800
0.05380000	2.47901800
0.05385000	2.47901800
0.05390000	2.47901800
0.05395000	2.47901800
0.05400000	2.47901800
0.05405000	2.47901800
0.05410000	2.47901800
0.05415000	2.47901800
0.05420000	2.47901800
0.05425000	2.47901800
0.05430000	2.52327000
0.05435000	2.47901800
0.05440000	2.47901800
0.05445000	2.47901800
0.05450000	2.47901800
0.05455000	2.47901800
0.05460000	2.47901800
0.05465000	2.47901800
0.05470000	2.52327000
0.05475000	2.47901800
0.05480000	2.47901800
0.05485000	2.47901800
0.05490000	2.47901800
0.05495000	2.47901800
0.05500000	2.47901800
0.05505000	2.47901800
0.05510000	2.47901800
0.05515000	2.52327000
0.05520000	2.47901800
0.05525000	2.47901800
0.05530000	2.47901800
0.05535000	2.47901800
0.05540000	2.47901800
0.05545000	2.47901800
0.05550000	2.47901800
0.05555000	2.52327000
0.05560000	2.47901800
0.05565000	2.47901800
0.05570000	2.47901800
0.05575000	2.47901800
0.05580000	2.52327000
0.05585000	2.47901800
0.05590000	2.47901800
0.05595000	2.47901800
0.05600000	2.47901800
0.05605000	2.47901800
0.05610000	2.47901800
0.05615000	2.47901800
0.05620000	2.47901800
0.05625000	2.47901800
0.05630000	2.47901800
0.05635000	2.47901800
0.05640000	2.47901800
0.05645000	2.47901800
0.05650000	2.47901800
0.05655000	2.52327000
0.05660000	2.47901800
0.05665000	2.47901800
0.05670000	2.47901800
0.05675000	2.47901800
0.05680000	2.47901800
0.05685000	2.47901800
0.05690000	2.47901800
0.05695000	2.47901800
0.05700000	2.47901800
0.05705000	2.47901800
0.05710000	2.47901800
0.05715000	2.47901800
0.05720000	2.47901800
0.05725000	2.47901800
0.05730000	2.47901800
0.05735000	2.47901800
0.05740000	2.47901800
0.05745000	2.47901800
0.05750000	2.47901800
0.05755000	2.47901800
0.05760000	2.47901800
0.05765000	2.47901800
0.05770000	2.47901800
0.05775000	2.47901800
0.05780000	2.47901800
0.05785000	2.47901800
0.05790000	2.47901800
0.05795000	2.47901800
0.05800000	2.47901800
0.05805000	2.47901800
0.05810000	2.47901800
